ra,dec,name
51.105676,-21.542465,NGC 1325
51.257763,-5.745817,NGC 1324
51.572342,-21.335799,NGC 1332
51.618175,-21.356077,NGC 1331
51.991497,-37.150783,NGC 1341
52.024845,-8.389703,NGC 1337
52.027334,-32.286065,NGC 1339
52.079835,-31.068011,NGC 1344
52.425673,-22.279131,NGC 1347
52.506491,41.832458,NGC 1334
52.785249,-33.628842,NGC 1350
52.861511,4.378614,NGC 1349
52.884424,-19.277468,NGC 1352
53.01359,-20.817744,NGC 1353
53.348594,-4.998874,NGC 1355
53.402746,-36.138007,NGC 1365
53.416094,-5.08943,NGC 1358
53.44984,-19.491357,NGC 1359
53.472333,-31.193289,NGC 1366
53.75317,-24.934407,NGC 1371
53.811922,-20.372745,NGC 1370
53.819412,-35.266341,NGC 1375
53.819829,-35.226341,NGC 1374
54.013995,-35.440508,NGC 1379
54.112329,-34.975786,NGC 1380
54.131495,-35.294119,NGC 1381
54.163172,-20.9008,NGC 1377
54.187744,-36.256063,NGC 1392
54.238162,-35.506341,NGC 1387
54.274426,-5.043319,NGC 1376
54.285662,-35.194675,NGC 1382
54.299411,-35.744952,NGC 1389
54.36692,-24.503297,NGC 1385
54.411922,-18.338581,NGC 1383
54.45761,72.572158,NGC 1343
54.466922,-19.008858,NGC 1390
54.621078,-35.449397,NGC 1399
54.623587,-23.027743,NGC 1395
54.661089,-18.427748,NGC 1393
54.715661,-35.593286,NGC 1404
54.716085,-26.33635,NGC 1398
54.778172,-18.293303,NGC 1394
54.80484,15.822212,NGC 1384
54.841503,-22.723576,NGC 1401
54.844414,-31.321901,NGC 1406
54.880672,-18.688581,NGC 1400
55.051922,-18.581081,NGC 1407
55.237753,-22.563577,NGC 1415
55.261919,-22.718577,NGC 1416
55.295258,-1.299157,NGC 1409
55.379003,-21.682467,NGC 1414
55.489008,-4.705819,NGC 1417
55.505644,-47.221333,NGC 1433
55.548164,-29.894403,NGC 1425
55.567341,-4.730819,NGC 1418
55.596077,-35.153287,NGC 1428
55.623173,-13.488309,NGC 1421
55.705669,-22.110244,NGC 1426
55.807757,-4.731097,NGC 1424
55.907742,-35.853009,NGC 1436
56.133564,-44.643835,NGC 1448
56.210252,-21.922467,NGC 1439
56.26442,-18.267471,NGC 1440
56.34192,-18.634415,NGC 1452
56.42984,-4.092209,NGC 1441
56.513173,-4.138598,NGC 1449
56.530257,-4.069709,NGC 1451
56.566024,-59.809382,NGC 1463
56.614006,-3.969431,NGC 1453
56.742333,-25.523019,NGC 1459
57.11317,-16.39164,NGC 1461
57.970254,-8.838315,NGC 1467
58.037727,-44.531614,NGC 1476
58.052755,-6.349429,NGC 1468
58.664416,-20.502469,NGC 1482
58.944396,-42.367172,NGC 1487
59.078582,-21.820801,NGC 1486
59.138902,-66.040215,NGC 1503
59.366056,-46.210503,NGC 1493
59.42855,-48.907446,NGC 1494
59.558959,-52.328278,NGC 1500
59.588558,-44.466338,NGC 1495
59.899305,-67.635216,NGC 1511
60.091874,-52.573833,NGC 1506
60.115964,68.577722,NGC 1469
60.529829,23.133039,NGC 1497
60.977725,-43.350784,NGC 1512
61.012701,-54.102722,NGC 1515
61.114001,-2.188045,NGC 1507
61.268853,70.997722,NGC 1485
61.299314,-65.841051,NGC 1526
61.532288,-52.669946,NGC 1522
61.708579,-21.178581,NGC 1518
61.830997,-62.899942,NGC 1529
62.031497,-17.193307,NGC 1519
62.079412,-21.051637,NGC 1521
62.101881,-47.897171,NGC 1527
62.190164,-62.796331,NGC 1534
62.464359,-56.120501,NGC 1533
62.754357,-56.48689,NGC 1536
62.997319,-32.849127,NGC 1531
63.023152,-32.874405,NGC 1532
63.180185,-57.737167,NGC 1543
63.421069,-31.646073,NGC 1537
63.653107,-56.06078,NGC 1546
63.793155,-28.482742,NGC 1540
63.938108,-55.591891,NGC 1549
64.043524,-55.78078,NGC 1553
64.251498,0.83473,NGC 1541
64.405992,-62.784389,NGC 1559
64.439789,-50.164117,NGC 1556
65.001858,-54.938282,NGC 1566
65.286459,-48.254397,NGC 1567
65.496433,-56.973837,NGC 1574
65.536884,-43.628844,NGC 1570
65.868773,75.29717,NGC 1530
65.9452,-51.599118,NGC 1578
66.10608,-0.74638,NGC 1568
66.190189,-54.941894,NGC 1581
66.907688,-55.026895,NGC 1596
66.973938,-55.057173,NGC 1602
67.091041,-47.815787,NGC 1595
67.141457,-47.781065,NGC 1598
67.682745,0.665286,NGC 1587
67.691495,0.863897,NGC 1589
67.709723,64.846344,NGC 1569
67.715661,-5.798597,NGC 1594
67.792744,7.627779,NGC 1590
67.911911,-4.589154,NGC 1599
67.915188,-54.601341,NGC 1617
67.916494,-5.087765,NGC 1600
67.958994,-5.09582,NGC 1601
68.013994,-5.032765,NGC 1606
68.173131,-43.715513,NGC 1616
68.208404,71.881064,NGC 1560
68.499827,-8.574984,NGC 1614
68.759632,73.263286,NGC 1573
69.007739,19.950824,NGC 1615
69.02816,-3.149155,NGC 1618
69.15316,-3.189433,NGC 1622
69.156494,-0.144436,NGC 1620
69.27691,-3.304433,NGC 1625
69.314406,-18.902198,NGC 1630
69.482325,-9.51915,NGC 1632
70.034409,-0.547769,NGC 1635
70.168158,-8.607762,NGC 1636
70.367742,-2.858322,NGC 1637
70.401076,-1.808879,NGC 1638
70.560237,-20.435253,NGC 1640
70.727326,0.61973,NGC 1642
70.754292,-65.814674,NGC 1669
71.004381,-41.463295,NGC 1658
71.045631,-41.496906,NGC 1660
71.425997,-59.249121,NGC 1672
71.525208,-44.73246,NGC 1668
71.625241,-4.789154,NGC 1659
72.09766,-59.80051,NGC 1688
72.137324,-6.570542,NGC 1666
72.140201,-47.817182,NGC 1680
72.154407,-6.320264,NGC 1667
72.841057,-33.938578,NGC 1687
73.129823,-3.106378,NGC 1684
73.13014,-62.985511,NGC 1706
73.14274,-2.949434,NGC 1685
73.216825,-59.742456,NGC 1703
73.55685,-53.362181,NGC 1705
73.58024,1.640285,NGC 1690
73.848984,-20.571365,NGC 1692
73.96231,-29.883582,NGC 1701
74.234406,-4.867488,NGC 1700
74.248572,-4.757766,NGC 1699
74.320653,-15.290536,NGC 1710
74.601394,-62.027458,NGC 1765
74.727322,-0.491102,NGC 1713
74.731386,-63.298013,NGC 1771
74.822737,-11.118872,NGC 1725
74.836905,-7.859708,NGC 1720
74.858571,-10.981095,NGC 1723
74.892739,-0.261102,NGC 1719
74.925238,-7.755541,NGC 1726
74.993146,-26.02664,NGC 1744
75.398155,-4.264155,NGC 1741
75.478572,-3.2961,NGC 1740
75.524247,-69.568846,NGC 1809
75.613623,86.219958,NGC 1544
75.680147,-61.139126,NGC 1796
75.902738,1.573618,NGC 1762
76.313131,-37.97969,NGC 1792
76.325653,-9.147485,NGC 1779
76.361025,-49.566908,NGC 1803
76.363569,-11.87165,NGC 1784
76.600222,-31.949971,NGC 1800
76.734736,-59.72385,NGC 1824
76.928548,-37.514135,NGC 1808
76.93607,-7.96943,NGC 1799
77.180641,-29.276918,NGC 1811
77.222308,-29.252195,NGC 1812
77.515632,-36.958858,NGC 1827
78.0144,-15.687759,NGC 1832
78.068912,-57.398574,NGC 1853
78.526068,-10.627207,NGC 1843
79.283867,-64.961352,NGC 1892
79.951886,-32.141918,NGC 1879
80.441901,6.688893,NGC 1875
80.453143,-23.812478,NGC 1886
80.642322,-79.851909,NGC 2012
81.486027,-46.729692,NGC 1930
81.698039,-63.761356,NGC 1947
83.201064,-14.063873,NGC 1954
83.338143,-21.947481,NGC 1964
83.596885,-30.801088,NGC 1989
83.746014,-50.922194,NGC 2007
85.239661,-82.12025,NGC 2144
85.463864,-64.301083,NGC 2082
85.518399,69.379422,NGC 1961
86.065162,-55.533585,NGC 2087
86.596841,-52.089419,NGC 2101
86.696894,-16.782207,NGC 2076
86.770176,-51.55192,NGC 2104
86.965227,-17.602207,NGC 2089
88.048147,-7.456655,NGC 2110
88.943809,-69.559977,NGC 2150
89.691809,-59.126367,NGC 2148
90.229343,-50.738591,NGC 2152
90.283972,-23.675818,NGC 2139
90.700946,-63.76498,NGC 2178
91.186247,-73.401369,NGC 2199
