name,ra,dec,major,minor,angle
IC190223A    155.1400     19.7600     28.2     26.4     90.0
IC190317A     81.7600      3.4700     63.6     56.9      0.0
IC190410A    309.8650     11.6400     42.0     36.1      0.0
IC190413A    219.5750     11.8550     27.9     27.9      0.0
IC190413B    245.4000     22.2050     33.9     30.9     90.0
IC190415A    155.1750      5.3400     41.5     39.0     90.0
IC190422A    167.8250     17.7850     43.5     35.7      0.0
IC190503A    120.4900      6.4900     47.1     39.6     90.0
IC190504A     64.7300    -37.2850     46.7     43.5     90.0
IC190515A    128.3300     12.7600     38.0     37.8     90.0
IC190613A    311.9700     27.0400     42.0     29.4      0.0
IC190619A    343.1300     10.0300     40.2     34.2     90.0
IC190629A     23.5700     84.7050     96.9     94.7      0.0
IC190704A    161.1950     27.3500     43.8     35.4      0.0
IC190712A     78.6900     12.5000     83.2     57.6     90.0
IC190730A    226.5750     10.1600     60.6     47.5      0.0
IC190819A    148.7150      1.0150     76.5     32.7     90.0
IC190922A    168.2100    -22.4350     89.3     87.3     90.0
IC190922B      6.0000     -1.4700     30.0     28.2      0.0
IC191001A    313.7750     12.0850    133.5     68.7     90.0
IC191119A    228.9550      3.3550     44.6     36.3     90.0
IC191122A     28.0450      0.0400     37.5     33.0     90.0
IC191204A     80.3000      2.7050     49.1     33.9     90.0
IC191215A    287.0450     58.3350     38.1     30.1      0.0
IC191231A     53.0400     19.7250    188.7    134.7     90.0
IC200109A    165.7100     13.4300     82.2     70.8     90.0
IC200117A    115.9650     29.3150     28.5     27.5      0.0
IC200410A    240.2800     11.6400    181.0     72.6     90.0
IC200421A     89.0900      7.8450     50.5     39.3     90.0
IC200425A    100.4100     53.8000     63.8     49.2     90.0
IC200512A    295.4050     16.0200     34.8     30.3      0.0
IC200523A    339.0400      2.1550     77.9     38.1     90.0
IC200530A    254.5100     26.2850     60.3     54.8      0.0
IC200614A     28.7250     31.1700     46.5     40.8     90.0
IC200615A    143.1550      3.5800     37.2     31.4      0.0
IC200620A    162.1750     11.9350     27.9     27.3     90.0
IC200806A    157.0300     47.7650     27.4     26.7     90.0
IC200911A     51.1550     38.0700     42.6     33.8      0.0
IC200916A    109.3800     14.3350     30.2     29.7     90.0
IC200921A    195.2000     26.4100     31.8     29.0      0.0
IC200926A     96.8000     -4.5650     36.3     29.9      0.0
IC200926B    185.8850     31.8200    110.9     87.6     90.0
IC200929A     28.6350      3.0750     44.0     23.1     90.0
IC201007A    265.2600      5.2600     28.7     27.0     90.0
IC201014A    220.8500     14.4200     33.6     30.8      0.0
IC201021A    260.7850     14.6450     34.0     27.9     90.0
IC201114A    104.5600      5.5800     50.8     50.4     90.0
IC201115A    193.7300      1.4650     32.7     31.8      0.0
IC201120A    307.9150     40.3350     73.5     48.9     90.0
IC201130A     30.0750    -13.3100     57.0     45.2      0.0
IC201209A      7.0500     -9.1300     44.4     33.2      0.0
IC201221A    261.9900     41.6850     50.1     39.0      0.0
IC201222A    206.8950     13.5500     31.2     28.2     90.0
IC210210A    206.8100      4.5100     34.8     28.1      0.0
IC210503A    143.0450     41.2400     68.4     49.3      0.0
IC210510A    268.0100      4.0600     26.9     26.4     90.0
IC210516A     91.8050      9.6900     28.7     27.6     90.0
IC210608A    337.3900     17.8950    201.5    107.7     90.0
IC210629A    340.6700     12.5900     28.2     27.5      0.0
IC210717A     46.0500     -2.0900     78.6     64.2      0.0
IC210730A    105.8200     14.8750     29.7     29.6      0.0
IC210811A    270.8150     25.3850     36.1     29.1     90.0
IC210922A     60.6650     -4.3550     20.6     17.1     90.0
IC211023A    253.5400     -1.6850     30.9     28.8      0.0
IC211116A     42.3550     -0.0400     63.3     47.4     90.0
IC211117A    225.6150     -0.1550     29.1     28.5      0.0
IC211123A    265.0300      7.0200     46.8     39.9      0.0
IC211125A     43.9500     21.4950     45.2     36.3     90.0
IC211208A    114.3300     15.6700     51.4     47.4     90.0
IC211216A    316.2100     15.9000     30.0     28.8     90.0
IC211216B    199.5750     16.8700     33.0     33.0     90.0
IC220115A    357.9950     25.4150     51.2     36.9     90.0
IC220202A     22.0400     -4.2050     31.1     18.3     90.0
IC220205A    215.8850     15.2550     45.3     42.5      0.0
IC220205B    267.0700     -3.6750     35.9     26.1     90.0
IC220221A    288.4850     21.2650     89.1     84.0      0.0
IC220225A     33.6950     -0.2000     54.9     36.0     90.0
IC220303A    268.3850     11.2400     38.0     31.2     90.0
IC220304A     49.5700      5.5650    354.9    202.9      0.0
IC220306A    315.0650      8.5050     28.2     18.9     90.0
IC220317A    155.3650     11.0950     38.7     32.7      0.0
IC220405A    134.6950     -1.1800     31.5     29.4     90.0
IC220405B    320.2250     29.2600     32.7     28.8     90.0
IC220421A    114.3600      6.0200     38.4     32.8      0.0
IC220424A    345.6850      8.8050     30.9     28.2      0.0
IC220425A    267.4150    -11.2750     50.3     48.3     90.0
IC220501A    311.5800     18.7300     30.1     28.2     90.0
IC220509A    334.4450      4.6900     39.2     36.0     90.0
IC220513A    222.8100     -1.3150     48.6     29.1     90.0
IC220524A     47.9450     -3.4650     81.7     28.5     90.0
IC220624A    223.2050     40.5350     78.3     60.5      0.0
IC220627A    165.4650      5.0100     36.6     34.4      0.0
IC220629A    164.1750      4.2850     27.8     26.7     90.0
IC220822A    271.0100     21.7350     47.9     40.5     90.0
