SRC_NAME,RAJ2000,DECJ2000,IAUNAME
4FGL_J0653.6+1636,103.416219521,16.6121259444,1eRASS J065339.9+163644
4FGL_J0654.3+0923,103.613132683,9.42635744167,1eRASS J065427.0+092534
4FGL_J0654.6-4952,103.82675170898438,-49.868309020996094,1eRASS J065518.5-495205
4FGL_J0655.4-2631,103.849669496,-26.5118071778,1eRASS J065523.9-263046
4FGL_J0658.1-5840,104.557413162,-58.6743241694,1eRASS J065813.7-584028
4FGL_J0658.6+0636,104.687599175,6.61985833333,1eRASS J065845.0+063705
4FGL_J0659.6-6742,104.88716888427734,-67.73058319091797,1eRASS J065932.7-674352
4FGL_J0700.1-6311,104.99452209472656,-63.210750579833984,1eRASS J065958.6-631238
4FGL_J0701.5+2511,105.38375091552734,25.164030075073242,1eRASS J070132.1+250954
4FGL_J0706.1+0246,106.545128354,2.74716480556,1eRASS J070610.7+024450
4FGL_J0715.3-6828,108.789580183,-68.4995078222,1eRASS J071509.0-682958
4FGL_J0717.7-5519,109.43775177001953,-55.33944320678711,1eRASS J071744.9-552022
4FGL_J0720.0-6237,109.768645671,-62.3006787167,1eRASS J071903.9-621804
4FGL_J0722.7+3606,110.739172337,36.105527325,1eRASS J072257.5+360616
4FGL_J0725.5-0504,111.373180283,-5.060408375,1eRASS J072529.5-050337
4FGL_J0725.8-0054,111.460999633,-0.915706380556,1eRASS J072550.6-005457
4FGL_J0731.8-3009,112.963317887,-30.1830698722,1eRASS J073151.2-301103
4FGL_J0732.7-4638,113.184618579,-46.6714466306,1eRASS J073244.3-464018
4FGL_J0733.5-5445,113.39476013183594,-54.7616081237793,1eRASS J073335.5-544541
4FGL_J0734.4-7711,113.680915096,-77.18707965,1eRASS J073443.8-771119
4FGL_J0738.4+1539,114.60401916503906,15.644359588623047,1eRASS J073824.7+153845
4FGL_J0741.4-8132,115.58808135986328,-81.52672576904297,1eRASS J074222.6-813137
4FGL_J0742.9-5242,115.68633270263672,-52.68524932861328,1eRASS J074244.3-524108
4FGL_J0744.1-6211,116.0825424194336,-62.18344497680664,1eRASS J074419.6-621102
4FGL_J0745.4-2447,116.29275512695312,-24.86214256286621,1eRASS J074509.8-245146
4FGL_J0752.3-1631,118.099303558,-16.5612256833,1eRASS J075223.9-163337
