SRC_NAME,RAJ2000,DECJ2000,IAUNAME
ABC_J0456-2159,74.03718220833332,-21.985944194444446,1eRASS J045608.7-215909
ABC_J0839-1214,129.960762125,-12.242868666666666,1eRASS J083950.4-121432
ABC_J1150-0640,177.59994466666666,-6.6740478888888894,1eRASS J115024.0-064025
BROS_J0238.7-3048,39.6878938431,-30.8066998599,1eRASS J023845.0-304820
BROS_J0325.4-0608,51.3558964102,-6.14362983994,1eRASS J032525.3-060839
BROS_J0350.3-2217,57.5798773169,-22.2891002605,1eRASS J035019.1-221724
BROS_J0721.0+1411,110.252483427,14.1904306792,1eRASS J072100.2+141122
BROS_J0845.8-0241,131.472554906,-2.6835139883,1eRASS J084553.5-024059
BROS_J1107.2+0804,166.82341428,8.07681338589,1eRASS J110717.8+080438
BROS_J1129.2-3837,172.311889649,-38.6255850215,1eRASS J112914.8-383729
BROS_J1159.6-1959,179.920637333,-19.9895625122,1eRASS J115941.1-195925
BROS_J1302.9+1624,195.745556836,16.4075943434,1eRASS J130258.7+162428
