name,ra,dec,major,minor,angle
FL16Y J0041.7-1607,10.4405,-16.1241,0.0507,0.0476,-22.77
FL16Y J0041.8-4701,10.4505,-47.0316,0.0397,0.0382,-9.56
FL16Y J0042.1+2320,10.5416,23.349,0.0301,0.0276,-12.64
FL16Y J0042.1+3640,10.543,36.6778,0.0378,0.032,61.89
FL16Y J0042.3+3509,10.5832,35.1519,0.0762,0.0608,-19.99
FL16Y J0043.2+4112,10.8071,41.2004,0.1351,0.0814,-34.28
FL16Y J0043.5-0443,10.8821,-4.7205,0.0514,0.0423,3.27
FL16Y J0043.6+2223,10.9113,22.3981,0.0593,0.0532,-8.88
FL16Y J0043.7-1116,10.934,-11.2792,0.0442,0.038,-63.15
FL16Y J0043.8+3426,10.9662,34.4367,0.0122,0.0117,-15.07
FL16Y J0044.6+4558,11.1713,45.9748,0.1035,0.084,-58.59
FL16Y J0044.7+6802,11.1786,68.048,0.0355,0.0328,88.49
FL16Y J0045.1-3706,11.2863,-37.1087,0.0472,0.0452,-53.15
FL16Y J0045.3+2127,11.3424,21.4658,0.0132,0.0126,30.98
FL16Y J0045.4-8424,11.3533,-84.4158,0.1113,0.0871,-76.23
FL16Y J0045.7+1217,11.4388,12.2849,0.0167,0.0164,-57.2
FL16Y J0045.9-2021,11.4837,-20.3633,0.0509,0.0448,49.64
FL16Y J0046.0-1324,11.5028,-13.4074,0.0516,0.0429,-80.64
FL16Y J0046.6-7057,11.6622,-70.9647,0.0535,0.0459,5.31
FL16Y J0046.7+0706,11.6999,7.1061,0.0726,0.0624,-26.2
FL16Y J0047.0+5657,11.7583,56.9603,0.0241,0.0224,-84.4
FL16Y J0047.2+6943,11.8224,69.7208,0.0368,0.0351,-14.2
FL16Y J0047.5-2517,11.8877,-25.2968,0.0244,0.0232,-76.65
FL16Y J0047.9+5448,11.983,54.811,0.0385,0.0319,30.61
FL16Y J0047.9+3948,11.986,39.8044,0.0201,0.0197,23.81
FL16Y J0048.0+2233,12.0088,22.5614,0.0477,0.0402,47.05
FL16Y J0048.5-6345,12.1329,-63.7553,0.0345,0.0324,-27.34
FL16Y J0048.6-2427,12.1634,-24.4508,0.0459,0.0422,69.86
FL16Y J0049.0+2253,12.2619,22.8883,0.0405,0.0372,-60.93
FL16Y J0049.1+4223,12.2891,42.3856,0.0519,0.0442,-26.13
FL16Y J0049.2+6227,12.3112,62.4626,1.1318,0.1676,-30.48
FL16Y J0049.5-4458,12.3799,-44.9818,0.0728,0.0688,76.09
FL16Y J0049.5-4151,12.3925,-41.854,0.0678,0.0587,-41.71
FL16Y J0049.6-5402,12.4082,-54.0388,0.043,0.0391,3.0
FL16Y J0049.7+0237,12.4266,2.6182,0.0173,0.0168,-64.2
FL16Y J0050.0-5738,12.5085,-57.6429,0.0209,0.0203,72.69
FL16Y J0050.4-0453,12.6015,-4.8873,0.029,0.0254,-73.84
FL16Y J0050.6-0929,12.6716,-9.4887,0.0119,0.0114,54.74
FL16Y J0050.7+3330,12.6889,33.5154,0.1293,0.1008,-25.2
FL16Y J0050.9-3428,12.7271,-34.469,0.0585,0.0505,21.03
FL16Y J0051.1-0649,12.776,-6.8278,0.0326,0.0303,-38.71
FL16Y J0051.2-6242,12.8133,-62.703,0.0116,0.0114,57.91
FL16Y J0051.2-4227,12.8175,-42.4639,0.0466,0.0455,69.21
FL16Y J0052.3+6445,13.0913,64.7589,0.0707,0.066,-11.57
FL16Y J0053.4-6645,13.3558,-66.7593,0.0402,0.0374,-39.34
FL16Y J0054.2+8629,13.5688,86.4843,0.0593,0.0552,5.99
FL16Y J0054.7+6814,13.6823,68.2368,0.0845,0.064,-15.8
FL16Y J0054.7-2455,13.6922,-24.9305,0.0173,0.0154,41.19
FL16Y J0054.8-1957,13.7084,-19.9656,0.1978,0.1214,14.26
FL16Y J0055.2-1217,13.8023,-12.2961,0.031,0.0271,12.0
FL16Y J0055.3-6124,13.8438,-61.4131,0.1312,0.1014,-58.17
FL16Y J0055.7+4506,13.9361,45.1075,0.0548,0.0471,35.49
FL16Y J0055.9+6912,13.9993,69.2098,0.2208,0.1366,70.53
FL16Y J0056.3-0936,14.088,-9.6087,0.0179,0.0175,-25.79
FL16Y J0056.5-2117,14.1301,-21.2855,0.0188,0.0179,84.87
FL16Y J0056.5-5317,14.1351,-53.2935,0.0415,0.0396,-36.95
FL16Y J0056.7-4452,14.193,-44.8765,0.0672,0.054,-52.69
FL16Y J0056.8-3938,14.2066,-39.6476,0.1052,0.0807,77.22
FL16Y J0056.8+1625,14.224,16.4318,0.0797,0.0691,20.91
FL16Y J0056.9+4100,14.249,41.0,0.0644,0.0545,68.48
FL16Y J0057.4+2218,14.3558,22.3152,0.0619,0.0532,-59.94
FL16Y J0057.7+3024,14.4348,30.4089,0.068,0.0494,-11.95
FL16Y J0057.9+6326,14.4902,63.4334,0.0321,0.0306,-27.35
FL16Y J0058.0-7245e,14.5,-72.75,,,
FL16Y J0058.0-0539,14.5084,-5.6658,0.0377,0.0333,81.04
FL16Y J0058.0-3233,14.5154,-32.5639,0.0196,0.0187,-59.58
FL16Y J0058.2-4606,14.5642,-46.1017,0.0878,0.059,-13.03
FL16Y J0058.2-7214,14.5661,-72.2356,0.1511,0.1105,-67.34
FL16Y J0058.3+1723,14.5851,17.3921,0.0477,0.0416,-75.74
FL16Y J0058.4+3314,14.6172,33.2431,0.0548,0.0529,81.01
FL16Y J0058.5-1141,14.6267,-11.6921,0.0689,0.0532,60.94
FL16Y J0059.1-5658,14.7881,-56.9673,0.0276,0.0229,68.18
FL16Y J0059.1-3337,14.7948,-33.6303,0.19,0.1434,74.9
FL16Y J0059.2+0008,14.8032,0.145,0.0584,0.0536,-5.92
FL16Y J0059.3-0151,14.8267,-1.851,0.0287,0.0258,-31.3
FL16Y J0059.5-3511,14.8817,-35.198,0.0434,0.0409,14.51
FL16Y J0100.3+0745,15.095,7.7546,0.0147,0.0139,-41.33
FL16Y J0101.0-0057,15.2706,-0.9572,0.0781,0.07,23.07
FL16Y J0101.1-6422,15.2975,-64.3823,0.0167,0.0163,42.93
FL16Y J0101.7-6240,15.4364,-62.6697,0.0541,0.0488,-34.41
FL16Y J0101.7-5456,15.44,-54.941,0.037,0.0339,34.96
FL16Y J0101.9-1928,15.4878,-19.4729,0.0673,0.0536,50.41
FL16Y J0102.0+4458,15.5165,44.9828,0.0971,0.0712,74.42
FL16Y J0102.1+5847,15.533,58.7913,0.0449,0.0423,9.82
FL16Y J0102.2+1638,15.5621,16.6474,0.0678,0.0583,41.29
FL16Y J0102.4+0944,15.6007,9.7369,0.0479,0.0395,80.0
FL16Y J0102.4+0959,15.6087,9.9979,0.0369,0.0338,57.84
FL16Y J0102.4+4215,15.6186,42.2597,0.0571,0.0567,39.29
FL16Y J0102.5-5643,15.6268,-56.7311,0.1204,0.0583,33.07
FL16Y J0102.6-8017,15.6694,-80.2834,0.1267,0.1033,-18.27
FL16Y J0102.8+5824,15.7036,58.405,0.0137,0.0133,-35.9
FL16Y J0102.8-2001,15.7144,-20.0296,0.0416,0.037,55.38
FL16Y J0102.8+4839,15.7225,48.6641,0.0166,0.0161,-77.3
