ra,dec,name
312.44126,10.05137,PKS 2047+098
304.10013,-9.05928,PMN J2016-0903
298.92804,51.53014,OV 591
294.31783,-39.9671,PKS 1933-400
290.34967,-12.53178,TXS 1918-126
275.49788,68.31194,7C 1822+6816
274.23319,-49.72901,PMN J1816-4943
264.86413,49.9176,S4 1738+49
256.14099,-5.47801,NVSS J170433-052839
249.43848,47.29188,4C +47.44
230.20405,-3.81431,NVSS J152048-034850
225.25765,22.63514,MS 1458.8+2249
201.75344,22.18082,B2 1324+22
198.6825,23.80744,TXS 1312+240
197.74751,32.55957,RX J131058.8+323335
185.91747,80.66809,S5 1221+80
178.35197,49.51912,4C +49.22
164.22341,70.19609,S5 1053+70
160.13178,6.28938,GB6 J1040+0617
156.64322,-85.72064,PKS 1029-85
155.98413,-43.60043,RX J1023.9-4336
154.01308,5.21731,TXS 1013+054
151.88081,-33.55189,PKS 1005-333
124.09428,57.65279,SBS 0812+578
122.42379,53.69031,87GB 080551.6+535010
118.25633,53.88291,4C +54.15
117.74871,-51.57914,PMN J0751-5134
107.24288,22.69319,GB6 J0708+2241
103.592,50.70664,GB6 J0654+5042
98.94375,-75.27133,PKS 0637-75
98.74543,-23.58651,PMN J0634-2335
95.91627,-33.83743,PMN J0623-3350
92.00633,-15.34361,PMN J0608-1520
90.71371,-40.31259,SUMSS J060251-401845
68.39272,-60.50383,PKS 0432-606
66.65155,5.30566,PKS 0423+051
61.39247,-13.13684,PKS 0403-13
60.43819,21.17461,TXS 0358+210
55.14768,-21.32565,PKS 0338-214
54.12719,32.30791,NRAO 140
51.34803,-56.59574,1RXS J032521.8-563543
37.69046,40.54808,B3 0227+403
34.37833,73.82572,S5 0212+73
25.94754,-58.76428,SUMSS J014347-584550
24.41075,-24.51401,PKS 0135-247
11.43084,12.28648,GB6 J0045+1217
8.81125,15.25117,RX J0035.2+1515
4.94071,73.45842,S5 0016+73
4.3997,-5.21187,PMN J0017-0512
19.052175,-11.604287,PKS 0113-118
356.66583,7.08453,TXS 2344+068
321.63044,-46.09489,PKS 2123-463
308.65462,11.90872,TXS 2032+117
283.11959,48.92915,S4 1851+48
247.13767,77.11386,6C B163030.4+771303
225.91963,-15.68725,RBS 1457
207.38119,-11.54864,PKS 1346-112
197.09875,35.777,5C 12.291
188.42223,-1.73992,NVSS J123341-014426
186.10077,24.60653,MS 1221.8+2452
178.52569,-32.71194,PKS 1151-324
158.26545,41.26839,S4 1030+41
153.05572,6.51555,NRAO 350
142.42942,86.20592,S5 0916+864
142.31505,50.22648,GB6 J0929+5013
137.41568,2.00146,PKS 0907+022
120.80042,-3.60022,TXS 0800-034
65.10921,-37.74737,NVSS J042025-374443
61.87146,7.70145,TXS 0404+075
40.87867,71.33831,S5 0238+711
39.63538,-31.28283,1RXS J023832.6-311658
14.50921,-32.57239,PKS 0055-328
305.90275,-11.66608,PMN J2023-1140
291.87819,61.29203,S4 1926+61
237.64696,5.45289,4C +05.64
117.15059,24.00678,OI 275
56.32619,-23.87211,NVSS J034518-235218
51.42121,-16.77133,RBS 0421
237.37252,2.6167,PKS 1546+027
228.41244,-32.58315,PKS 1510-324
226.68519,8.23395,PMN J1506+0814
43.37154,-54.69761,PKS 0252-549
31.60867,-11.84436,PMN J0206-1150
338.97847,-36.48413,NVSS J223554-362901
285.73304,31.99492,3C 395
278.12907,-56.98909,PMN J1832-5659
277.50339,-44.68614,PMN J1830-4441
267.2515,43.36425,B3 1747+433
262.64583,0.41075,PKS 1728+004
243.421,34.21342,OS 319
219.72337,37.17651,B2 1436+37B
136.39607,13.96763,MG1 J090534+1358
342.99905,40.51616,MG4 J225201+4030
296.497445,-31.19396,PKS 1942-313
152.00377,6.35485,MG1 J100800+0621
150.29117,29.1943,GB6 J1001+2911
77.36442,10.19572,PKS 0506+101
14.08354,-9.6085,TXS 0053-098
12.58922,-4.87291,PKS 0047-051
262.10397,4.45136,PKS 1725+044
240.53025,33.44808,OS 300
194.6596,-18.00087,PKS B1256-177
164.62456,28.29617,GB6 J1058+2817
94.42055,-17.26597,IVS B0615-172
90.50185,53.26668,GB6 J0601+5315
84.12111,-33.71736,1RXS J053629.4-334302
35.50291,-16.25457,PKS 0219-164
354.48892,-2.51601,PKS 2335-027
328.45925,-11.60386,PMN J2153-1136
321.92925,36.21825,B2 2125+35
252.35506,52.58713,87GB 164812.2+524023
243.08199,-30.9939,NVSS J161219-305937
146.78969,-25.68334,1RXS J094709.2-254056
276.30661,-52.51501,PKS 1821-525
265.99453,19.58514,S3 1741+19
47.10905,4.1092,NGC 1218
31.21,15.23639,4C +15.05
342.29471,-13.00085,RBS 1899
272.43908,29.17219,MG2 J180948+2910
229.44821,65.42314,1H 1515+660
194.78526,-23.17741,PKS B1256-229
92.94118,-27.14594,PMN J0611-2709
39.22186,-61.60422,PKS 0235-618
37.36834,-36.73234,PKS 0227-369
13.69475,-24.92472,FRBA J0054-2455
12.78417,-6.83386,PKS 0048-071
148.96623,69.67947,M 82
331.93313,-53.77668,PKS 2204-54
300.070648,-29.507108,PMN J2000-2931
265.99523,-3.83461,PKS 1741-03
261.02261,40.0768,S4 1722+40
233.71838,1.51768,PKS 1532+01
208.69375,-10.68423,PKS 1352-104
168.16154,34.77753,TXS 1109+350
49.69069,21.57697,MG3 J031849+2135
262.02938,12.26097,PKS 1725+123
206.45548,7.10864,TXS 1343+073
19.45325,-21.18519,PKS 0115-214
2.87665,0.96429,RX J0011.5+0058
335.37213,-52.4244,PMN J2221-5224
329.52624,-15.01917,PKS 2155-152
239.70121,56.42058,TXS 1557+565
237.46683,-6.9855,NVSS J154952-065907
186.2266,-83.21947,PKS 1221-82
174.04005,-74.26333,PKS 1133-739
66.95,-67.0667,1SXPS J042749.2-670434
359.5454,-10.33579,PKS 2355-106
331.68038,-0.51736,PMN J2206-0031
306.29013,3.27903,PKS 2022+031
275.88689,68.96461,7C 1823+6856
159.31699,-29.56744,PKS 1034-293
324.16075,0.69839,OX 057
291.26338,-10.3035,PMN J1925-1018
273.38921,6.26167,TXS 1811+062
194.95764,-32.39138,LEDA 4075145
157.93649,60.34177,TXS 1028+605
126.19636,55.87786,OJ 535
96.32618,44.66695,GB6 J0625+4440
338.80675,-48.60033,PKS 2232-488
235.05826,81.91811,1ES 1544+820
220.1576,-38.78194,1RXS J144037.4-384658
145.26062,-13.5975,TXS 0938-133
44.73979,5.87886,
351.18875,8.03497,PMN J2324+0801
200.65375,-9.62717,PKS B1319-093
23.61746,26.64525,RX J0134.4+2638
14.13446,-21.28553,PMN J0056-2117
236.05,-25.9,
