16YName,4FGLName,1FLATName,16Y_ASSOC1,New/confirmed,WHO-1,Second evaluation,WHO-2,comment,nu_syn,nuFnu_syn,1/2FLATra,1/2FLATdec,4LAC_ASSOC1,4FGL_ASSOC1
FL16Y J2014.3-0047,4FGL J2014.3-0047,1FLAT J201428.6-004722,PMN J2014-0047,,,,,,15.6,-11.7,303.61929,-0.78967,PMN J2014-0047,PMN J2014-0047
FL16Y J2014.5+0648,4FGL J2014.5+0648,1FLAT J201431.1+064852,NVSS J201431+064849,,,,,,15.9,-11.7,303.62941,6.81457,NVSS J201431+064849,NVSS J201431+064849
FL16Y J2017.5-4114,4FGL J2017.5-4113,1FLAT J201730.0-411515,SUMSS J201729-411516,,,,,,16.6,-12.0,304.37482,-41.2544,SUMSS J201729-411516,SUMSS J201729-411516
FL16Y J2021.9-7225,4FGL J2022.0-7224,1FLAT J202143.9-722611,3HSP J202143.9-722611,,,,,,16.3,-12.0,305.43285,-72.43663,1RXS J202204.8-722538,1RXS J202204.8-722538
FL16Y J2022.4+0412,4FGL J2022.3+0413,1FLAT J202225.1+041235,,,,,,,16.7,-12.1,305.60468,4.20976,,
FL16Y J2024.4-0847,4FGL J2024.4-0847,1FLAT J202429.4-084804,1RXS J202428.9-084810,,,,,,16.0,-11.8,306.12237,-8.80123,1RXS J202428.9-084810,1RXS J202428.9-084810
FL16Y J2025.2-2231,4FGL J2025.3-2231,1FLAT J202515.2-223018,NVSS J202515-223016,,,,,,17.4,-11.9,306.31323,-22.50512,NVSS J202515-223016,NVSS J202515-223016
FL16Y J2026.3+7644,4FGL J2026.1+7645,1FLAT J202630.9+764443,2MASS J20263126+7644487,,,,,,16.9,-11.8,306.62895,76.74551,2MASS J20263126+7644487,2MASS J20263126+7644487
FL16Y J2028.8-0011,4FGL J2028.8-0010,1FLAT J202850.2-000837,,,,,,,16.9,-12.2,307.20906,-0.14381,,
FL16Y J2030.5-1439,4FGL J2030.5-1439,1FLAT J203027.9-143917,NVSS J203028-143918,,,,,,16.2,-12.4,307.61635,-14.65476,NVSS J203028-143918,NVSS J203028-143918
FL16Y J2030.9+1936,4FGL J2030.9+1935,1FLAT J203057.1+193612,RX J2030.8+1935,,,,,,15.9,-11.8,307.738,19.60358,RX J2030.8+1935,RX J2030.8+1935
FL16Y J2032.3-0545,4FGL J2032.2-0545,1FLAT J203230.7-054401,1RXS J203230.8-05441,,,,,,18.6,-11.5,308.12794,-5.73374,,
FL16Y J2034.8-4200,4FGL J2034.8-4200,1FLAT J203451.1-420038,2MASS J20345108-4200386,,,,,,15.8,-11.9,308.71288,-42.01068,2MASS J20345108-4200386,2MASS J20345108-4200386
FL16Y J2036.8-3329,4FGL J2036.9-3329,1FLAT J203649.5-332830,1RXS J203650.9-332817,,,,,,16.5,-11.6,309.20621,-33.47514,1RXS J203650.9-332817,1RXS J203650.9-332817
FL16Y J2038.7-3655,4FGL J2038.7-3655,1FLAT J203839.9-365429,,,,,,,16.7,-12.5,309.66639,-36.90807,,
FL16Y J2039.5+6646,,2FLAT J203935.9+664739,1RXS J203936.7+66474,Confirmed F16Y,P.G.,,,Very extreme HBL  Gamma-ray spectrum could be synchrotron?,18.1,-12.2,309.89971,66.79436,,
FL16Y J2040.1-7115,4FGL J2040.2-7115,1FLAT J204008.5-711456,PKS 2035-714,,,,,,17.2,-11.4,310.03551,-71.24912,PKS 2035-714,PKS 2035-714
FL16Y J2040.2-4620,4FGL J2040.1-4621,1FLAT J204006.6-462017,2MASS J20400660-4620180,,,,,,16.7,-11.8,310.02732,-46.33809,2MASS J20400660-4620180,2MASS J20400660-4620180
FL16Y J2041.2-6139,4FGL J2041.1-6138,1FLAT J204112.1-613949,WISEA J204112.05-613949.3,,,,,,15.8,-12.2,310.30031,-61.66371,,
FL16Y J2041.8-3734,4FGL J2041.9-3735,1FLAT J204150.2-373339,NVSS J204150-373341,,,,,,17.2,-11.5,310.45935,-37.56111,NVSS J204150-373341,NVSS J204150-373341
FL16Y J2041.8-7319,4FGL J2041.8-7319,1FLAT J204202.0-731913,SUMSS J204201-731911,,,,,,15.7,-12.0,310.50818,-73.32045,SUMSS J204201-731911,SUMSS J204201-731911
