ra,dec,name
169.50212306,19.98151194,111800.50+195853.4
169.57062389,7.76616806,111816.94+074558.2
169.626185,40.43167,111830.28+402554.0
169.78964,15.53789389,111909.51+153216.4
169.80528694,45.61501389,111913.26+453654.0
169.81295306,48.399215,111915.10+482357.1
170.08805111,40.75479889,112021.13+404517.2
170.548135,42.61929194,112211.55+423709.4
170.822995,5.30112111,112317.51+051804.0
170.83638111,1.62985306,112320.73+013747.4
171.16326306,42.02917194,112439.18+420145.0
171.47413889,59.17265306,112553.79+591021.5
171.63716111,12.07705194,112632.91+120437.3
171.67924194,15.76523694,112643.01+154554.8
172.17338306,63.59753194,112841.61+633551.1
172.32608111,11.15030889,112918.25+110901.1
172.45902,26.881655,112950.16+265253.9
172.60544806,17.57491194,113025.30+173429.6
173.18748694,18.41663194,113244.99+182459.8
173.37626389,10.87314694,113330.30+105223.3
173.397685,9.65042611,113335.44+093901.5
173.593655,4.19104,113422.47+041127.7
174.06309,10.57524694,113615.14+103430.8
174.54142806,66.62037111,113809.94+663713.3
174.78734806,59.19855111,113908.96+591154.7
175.04219611,10.49114694,114010.12+102928.1
175.55104694,23.54737111,114212.25+233250.5
175.72610111,26.91598611,114254.26+265457.5
175.92949389,67.74875611,114343.07+674455.5
176.08462694,11.58355806,114420.31+113500.8
176.49813306,46.21921306,114559.55+461309.1
176.69175611,37.25325194,114646.02+371511.7
177.30802111,-1.74830111,114913.92-014453.8
177.382315,22.50788111,114931.75+223028.3
177.613545,66.98001306,115027.25+665848.0
178.2567,21.85486306,115301.60+215117.5
178.42153111,10.29834889,115341.16+101754.0
178.45529111,11.47512,115349.26+112830.4
178.51859194,14.78878889,115404.46+144719.6
178.89731111,12.88166694,115535.35+125254.0
179.21524889,11.94339389,115651.65+115636.2
179.22041111,17.76501889,115652.89+174554.0
179.42262694,15.23724,115741.43+151414.0
179.68107611,45.76676306,115843.45+454600.3
180.02602889,31.44191,120006.24+312630.8
180.07221611,23.84660889,120017.33+235047.7
180.880375,15.38187889,120331.29+152254.7
180.94872306,52.13049806,120347.69+520749.7
181.10014111,43.515815,120424.03+433056.9
181.19965389,17.04912611,120447.91+170256.8
182.05592806,2.50420611,120813.42+023015.1
182.24171,45.67651889,120858.01+454035.4
182.56720194,0.20137694,121016.12+001204.9
182.63478194,45.00573,121032.34+450020.6
182.81067889,36.960995,121114.56+365739.5
183.08345194,45.86062111,121220.02+455138.2
183.200195,61.894575,121248.04+615340.4
184.16902111,7.206755,121640.56+071224.3
184.285615,66.41318889,121708.54+662447.4
184.31702389,8.16168111,121716.08+080942.0
184.54578,24.23636306,121810.98+241410.9
184.68080806,15.60479389,121843.39+153617.2
184.918205,-1.00206889,121940.36-010007.4
186.92472194,38.59682611,122741.93+383548.5
187.02877111,67.14559306,122806.90+670844.1
187.12857889,28.2366,122830.85+281411.7
187.40381806,55.10444806,122936.91+550616.0
187.50428306,33.98369806,123001.02+335901.3
187.59240694,66.36518111,123022.17+662154.6
187.72549194,11.00311389,123054.11+110011.2
188.35744889,9.52315889,123325.78+093123.3
188.481365,29.1303,123355.52+290749.0
189.00975694,-3.52499194,123602.34-033129.9
189.15951,3.04732111,123638.28+030250.3
191.29691,33.93614306,124511.25+335610.1
191.55469889,-0.70917389,124613.12-004233.0
191.72512889,13.219645,124654.03+131310.7
192.38216611,52.51086694,124931.71+523039.1
192.52384806,26.51875694,125005.72+263107.5
192.701335,39.86096389,125048.32+395139.4
192.75185,66.05745111,125100.44+660326.8
192.99127611,6.228235,125157.90+061341.6
193.12852389,14.43589889,125230.84+142609.2
193.32320806,31.0974,125317.56+310550.6
193.40714194,21.43838306,125337.71+212618.1
193.651685,5.62233889,125436.40+053720.4
193.832065,1.73673111,125519.69+014412.2
194.24969,4.45955611,125659.92+042734.4
194.33148889,44.49317194,125719.55+442935.4
195.30382194,59.035185,130112.91+590206.6
195.596335,14.10250889,130223.12+140609.0
195.80427306,28.18549806,130313.02+281107.7
196.14598111,18.79694611,130435.03+184749.0
196.39371,18.32579889,130534.49+181932.8
196.43467306,53.02674806,130544.32+530136.2
196.78652611,34.40607,130708.76+342421.8
196.95682194,35.02786806,130749.63+350140.3
196.97282306,11.96759306,130753.47+115803.3
197.07874889,3.74367111,130818.89+034437.2
197.08507389,39.08120306,130820.41+390452.3
197.12366389,30.09417694,130829.67+300539.0
197.44583806,8.33006306,130947.00+081948.2
197.54835306,46.02346306,131011.60+460124.4
197.59589806,38.894605,131023.01+385340.5
197.82025889,14.43693611,131116.86+142612.9
197.89858611,14.41310889,131135.66+142447.1
198.01961694,6.68544,131204.70+064107.5
198.62825194,13.12932806,131430.78+130745.5
198.77505389,14.05545111,131506.01+140319.6
200.00489,7.30475806,132001.17+071817.1
