Name,ra,dec,CatalogName
J100639.0+255443,151.66,25.91266,mcxcJ1006.6+2554
1eRASSJ100639.7+214021,151.67,21.67073,J100639+214013
1eRASSJ100647.3+265342,151.7,26.89501,J100647+265342
1eRASSJ100653.1+122346,151.72,12.39407,mcxcJ1006.8+1223
1eRASS J100720.7-850426,151.83,-85.0737,
1eRASSJ100820.3+253343,152.09,25.56099,CRATESJ100819+253332
1eRASSJ100838.3+171551,152.16,17.26627,J100837+171555
1eRASS J100848.6-095450,152.2,-9.91445,
1eRASSJ100943.6+052950,152.43,5.49829,SDSSJ100943.55+052953.8
1eRASSJ101238.5+101720,153.16,10.28868,SDSSJ101238.52+101719.2
J101248.1-264432,153.2,-26.74377,N.A.
J101306.3-164120,153.28,-16.68943,J101306-164122
